              disk0       cpu
    KB/t  tps  MB/s  us sy id
    KB/t  tps  MB/s  us sy id
    9.73   37  0.35   8  3 90
    4.00   13  0.05   7  3 90
   10.67   12  0.12   7  3 91
   11.96   99  1.15   8  4 88
    5.52  197  1.06   8  3 89
   11.33  232  2.57  16  6 78
    8.90   31  0.27  12  6 83
    0.00    0  0.00   7  3 90
    9.07  197  1.75  12  6 82
   13.58  148  1.97  12  9 78
   28.32  164  4.54  17  9 75
   89.64  683 59.77  20 12 68
   95.02  529 49.13  15 12 74
  111.25  707 76.82  13  9 78
  406.60  123 48.71   9  5 86
   81.16  733 58.10  24 11 65
  405.32  133 52.52  14  6 80
  119.98  509 59.70  18  8 74
  257.30  211 53.04  19  7 74
  270.46  201 53.12  17 10 73
              disk0       cpu
    KB/t  tps  MB/s  us sy id
  223.48  184 40.19  16  7 77
   20.89  918 18.72  31 10 58
    8.09 1094  8.64  24 10 66
   14.41 1711 24.08  22 10 68
   14.54   52  0.74  24  5 71
   14.48   92  1.29  22  5 73
   12.46  594  7.23  11  4 85
    0.00    0  0.00   6  2 92
    8.95   38  0.33  13  5 82
    9.12   25  0.22  11  6 84
    8.53   15  0.12   5  2 92
    8.22  181  1.46  10  3 87
    7.60  600  4.46  11  4 85
    8.57   21  0.18  11  5 85
    7.89   35  0.27  10  4 85
    8.71   17  0.14  10  4 86
   14.48   21  0.30  11  4 85
   15.41  156  2.35  24  9 67
   10.78  173  1.82  18  9 73
    7.34  353  2.53  12  9 79
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.76   67  0.77  11  5 85
    9.08  607  5.38  10  4 86
   11.84  399  4.62   6  7 86
   20.08   98  1.91   9  5 86
    7.82  225  1.72  13  4 83
   17.65  186  3.21  11  4 85
   11.17   24  0.26  10  4 86
   12.72   72  0.89   8  4 88
   12.61  104  1.29  11  5 84
    4.95 4480 21.67  10  7 83
    4.72 1456  6.71   8  4 88
   26.67    3  0.08   7  3 90
    9.74   23  0.22   7  2 91
    9.07   15  0.13   8  3 89
   16.00   29  0.45   9  3 88
    7.62   21  0.16  10  3 87
   10.61   23  0.24  10  4 85
   19.00    4  0.07   8  3 89
   18.06  130  2.29   8  3 89
    6.40   10  0.06   8  5 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   94.48   21  1.93   6  2 91
   22.40   10  0.22   7  3 90
    9.12   43  0.38  10  4 87
    9.17   89  0.79   9  4 86
